movie,year,imdb,Duration
College Romance,2018,9.8,30 min
Sanju,2018,8.1,155 min
Padman,2018,8.1,140 min
Tom Clancy's Jack Ryan,2018,8.3,60 min
Bodyguard,2018,8.3,60 min
